307 http://localhost:3000/deals	/	->	/
307 http://localhost:3000/deals	/_not-found	->	/_not-found
200	/admin	->	/admin
200	/admin/audit	->	/admin/audit
200	/admin/fields	->	/admin/fields
200	/admin/merge-fields	->	/admin/merge-fields
200	/admin/permissions	->	/admin/permissions
200	/admin/roles	->	/admin/roles
200	/admin/templates	->	/admin/templates
307 http://localhost:3000/deals	/ai-lab	->	/ai-lab
307 http://localhost:3000/deals	/analytics	->	/analytics
307 http://localhost:3000/deals	/auth	->	/auth
307 http://localhost:3000/deals	/banker/dashboard	->	/banker/dashboard
307 http://localhost:3000/deals	/banker/deals/[dealId]/discovery	->	/banker/deals/test-deal/discovery
307 http://localhost:3000/deals	/banker/deals/[dealId]/memo/[memoId]	->	/banker/deals/test-deal/memo/test-memo
307 http://localhost:3000/deals	/banks/[bankId]/documents	->	/banks/test-bank/documents
307 http://localhost:3000/deals	/banks/[bankId]/templates	->	/banks/test-bank/templates
307 http://localhost:3000/deals	/banks/settings/documents	->	/banks/settings/documents
307 http://localhost:3000/deals	/banks/settings/policy-chunks	->	/banks/settings/policy-chunks
307 http://localhost:3000/deals	/banks/settings/policy-ingestion	->	/banks/settings/policy-ingestion
200	/borrower	->	/borrower
307 http://localhost:3000/borrower/portal/demo	/borrower-portal	->	/borrower-portal
200	/borrower/[token]	->	/borrower/test-token
200	/borrower/portal	->	/borrower/portal
200	/borrower/portal/[token]	->	/borrower/portal/test-token
200	/borrowers/[id]	->	/borrowers/test-id
200	/borrowers/control-record	->	/borrowers/control-record
307 http://localhost:3000/deals	/clerk-test	->	/clerk-test
200	/command	->	/command
307 http://localhost:3000/deals	/committee	->	/committee
307 http://localhost:3000/deals	/compliance/audit-ledger	->	/compliance/audit-ledger
200	/credit-memo	->	/credit-memo
307 http://localhost:3000/deals	/credit/committee	->	/credit/committee
200	/deals	->	/deals
200	/deals/[dealId]	->	/deals/test-deal
200	/deals/[dealId]/borrower	->	/deals/test-deal/borrower
200	/deals/[dealId]/borrower-inbox	->	/deals/test-deal/borrower-inbox
200	/deals/[dealId]/cockpit	->	/deals/test-deal/cockpit
200	/deals/[dealId]/interview	->	/deals/test-deal/interview
200	/deals/[dealId]/loan-terms	->	/deals/test-deal/loan-terms
200	/deals/[dealId]/memo-template	->	/deals/test-deal/memo-template
200	/deals/[dealId]/memos/[docId]/preview	->	/deals/test-deal/memos/test-doc/preview
200	/deals/[dealId]/memos/new	->	/deals/test-deal/memos/new
200	/deals/[dealId]/portal-inbox	->	/deals/test-deal/portal-inbox
200	/deals/[dealId]/pricing-memo	->	/deals/test-deal/pricing-memo
200	/deals/[dealId]/sba	->	/deals/test-deal/sba
200	/deals/[dealId]/underwriter	->	/deals/test-deal/underwriter
200	/deals/new	->	/deals/new
200	/debug/pdf-worker	->	/debug/pdf-worker
200	/documents	->	/documents
307 http://localhost:3000/deals	/evidence	->	/evidence
307 http://localhost:3000/deals	/evidence/inbox	->	/evidence/inbox
307 http://localhost:3000/deals	/exceptions	->	/exceptions
307 http://localhost:3000/deals	/generate	->	/generate
307 http://localhost:3000/deals	/home	->	/home
307 http://localhost:3000/deals	/intake	->	/intake
307 http://localhost:3000/deals	/ocr-review	->	/ocr-review
307 http://localhost:3000/deals	/ocr/review	->	/ocr/review
307 http://localhost:3000/deals	/ops	->	/ops
307 http://localhost:3000/deals	/ops/orphans	->	/ops/orphans
307 http://localhost:3000/deals	/ops/reminders/subscriptions/[subscriptionId]	->	/ops/reminders/subscriptions/test-sub
